"Check","Severity","Excluded","Type","Description","Details"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 100.5 mm): Rectangle of X6 on F.Silkscreen;@(132.15 mm, 102.02 mm): Pad 2 [GND] of X6 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.1339 mm)","@(127.326 mm, 104.54 mm): PCB text 'X3' on F.Silkscreen;@(126.95 mm, 105.18 mm): Pad 6 [VDD] of X3 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.1339 mm)","@(127.326 mm, 104.54 mm): PCB text 'X3' on F.Silkscreen;@(127.45 mm, 105.18 mm): Pad 5 [GND] of X3 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.1339 mm)","@(127.326 mm, 109.24 mm): PCB text 'X4' on F.Silkscreen;@(126.95 mm, 109.88 mm): Pad 6 [VDD] of X4 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 109.9 mm): Rectangle of X4 on F.Silkscreen;@(127.95 mm, 109.88 mm): Pad 4 [Net-(X3-RX)] of X4 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 109.9 mm): Rectangle of X4 on F.Silkscreen;@(127.45 mm, 109.88 mm): Pad 5 [GND] of X4 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 109.9 mm): Rectangle of X4 on F.Silkscreen;@(126.95 mm, 109.88 mm): Pad 6 [VDD] of X4 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 105.2 mm): Rectangle of X3 on F.Silkscreen;@(127.95 mm, 105.18 mm): Pad 4 [Net-(X2-RX)] of X3 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 105.2 mm): Rectangle of X3 on F.Silkscreen;@(127.45 mm, 105.18 mm): Pad 5 [GND] of X3 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 105.2 mm): Rectangle of X3 on F.Silkscreen;@(126.95 mm, 105.18 mm): Pad 6 [VDD] of X3 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0900 mm)","@(126.7 mm, 105.2 mm): Rectangle of X3 on F.Silkscreen;@(127.95 mm, 106.72 mm): Pad 3 [Net-(X3-RX)] of X3 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 105.2 mm): Rectangle of X3 on F.Silkscreen;@(126.95 mm, 106.72 mm): Pad 1 [GND] of X3 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 105.2 mm): Rectangle of X3 on F.Silkscreen;@(127.45 mm, 106.72 mm): Pad 2 [GND] of X3 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.1339 mm)","@(132.026 mm, 104.54 mm): Reference field of X7;@(131.65 mm, 105.18 mm): Pad 6 [VDD] of X7 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.1339 mm)","@(132.026 mm, 104.54 mm): Reference field of X7;@(132.15 mm, 105.18 mm): Pad 5 [GND] of X7 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 105.2 mm): Rectangle of X7 on F.Silkscreen;@(132.65 mm, 105.18 mm): Pad 4 [Net-(X6-RX)] of X7 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 105.2 mm): Rectangle of X7 on F.Silkscreen;@(132.15 mm, 105.18 mm): Pad 5 [GND] of X7 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 105.2 mm): Rectangle of X7 on F.Silkscreen;@(131.65 mm, 105.18 mm): Pad 6 [VDD] of X7 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0900 mm)","@(131.4 mm, 105.2 mm): Rectangle of X7 on F.Silkscreen;@(132.65 mm, 106.72 mm): Pad 3 [Net-(X7-RX)] of X7 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 105.2 mm): Rectangle of X7 on F.Silkscreen;@(131.65 mm, 106.72 mm): Pad 1 [GND] of X7 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 105.2 mm): Rectangle of X7 on F.Silkscreen;@(132.15 mm, 106.72 mm): Pad 2 [GND] of X7 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0900 mm)","@(126.7 mm, 109.9 mm): Rectangle of X4 on F.Silkscreen;@(127.95 mm, 111.42 mm): Pad 3 [/Sensor Group/TX1] of X4 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 109.9 mm): Rectangle of X4 on F.Silkscreen;@(126.95 mm, 111.42 mm): Pad 1 [GND] of X4 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 109.9 mm): Rectangle of X4 on F.Silkscreen;@(127.45 mm, 111.42 mm): Pad 2 [GND] of X4 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.1339 mm)","@(132.026 mm, 109.24 mm): Reference field of X8;@(131.65 mm, 109.88 mm): Pad 6 [VDD] of X8 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.1339 mm)","@(132.026 mm, 109.24 mm): Reference field of X8;@(132.15 mm, 109.88 mm): Pad 5 [GND] of X8 on F.Cu"
